dish,prompt,generation,has_forbidden,has_required,compliant
fruity bulgur wheat,Generate a diabetes-friendly fruity bulgur wheat recipe.,"Toss 1 cup bulgur wheat with 1 cup chopped apples, 1 cup chopped pears, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped pecans, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1 cup chopped cranberries, 1 cup chopped walnuts, 1 cup chopped cranberries, 1",0,0,0
marinade for steak,Generate a diabetes-friendly marinade for steak recipe.,"Marinate steaks in a mixture of olive oil, red wine vinegar, garlic, salt and pepper.",0,1,1
yummy green beans,Generate a diabetes-friendly yummy green beans recipe.,Cut green beans in half lengthwise. Place half of the green beans in a large bowl. Add the rest of the green beans to the bowl. Toss the green beans with the rest of the ingredients. Cover the bowl with plastic wrap and refrigerate until ready to serve.,0,0,0
tarragon mayonnaise dip,Generate a diabetes-friendly tarragon mayonnaise dip recipe.,Spread tarragon mayonnaise on a tortilla and top with shredded cheddar cheese.,1,0,0
rachael ray s green beans,Generate a diabetes-friendly rachael ray s green beans recipe.,"Toss green beans with olive oil, garlic, salt, and pepper. Bake in a 375 degree oven for 20 minutes.",0,1,1
coriander pork tenderloin with carrot ginger sauce,Generate a diabetes-friendly coriander pork tenderloin with carrot ginger sauce recipe.,"Toss the pork tenderloin with the coriander, carrot, and ginger sauce in a large bowl. Season with salt and pepper.",0,0,0
black friday turkey and stuffing panini,Generate a diabetes-friendly black friday turkey and stuffing panini recipe.,This turkey and stuffing panini is diabetic-friendly.,0,1,1
grilled shrimp with garlic and breadcrumbs,Generate a diabetes-friendly grilled shrimp with garlic and breadcrumbs recipe.,"Melt the butter in a large skillet over medium-high heat. Add the garlic and breadcrumbs and cook, stirring, until the breadcrumbs are lightly browned, 2 to 3 minutes. Add the shrimp and cook, tossing, until the shrimp are cooked through, 2 to 3 minutes. Transfer the shrimp to a serving platter and serve.",0,0,0
slow cooker tuscan pot roast,Generate a diabetes-friendly slow cooker tuscan pot roast recipe.,Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan Pot Roast Recipe - Slow Cooker Tuscan,0,0,0
quick   dirty hamburger spinach calzones,Generate a diabetes-friendly quick   dirty hamburger spinach calzones recipe.,"To make quick dirty hamburger spinach calzones, mix 2 tablespoons ricotta cheese, 2 tablespoons mozzarella cheese, 2 tablespoons parmesan cheese, 2 tablespoons parsley, 2 tablespoons dill weed, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons parsley, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons chives, 2 tablespoons parsley, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons parsley, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons parsley, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons parsley, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons parsley, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons parsley, 2 tablespoons chives, 2 tablespoons dill weed, 2 tablespoons parsley, 2 tablespoons chives",0,1,1
chile con queso cheeseburger,Generate a diabetes-friendly chile con queso cheeseburger recipe.,"Chile con queso cheeseburger is a low-carb, high-protein, low-calorie, low-fat, low-sugar, low-fat, low-carb, low-calorie, low-fat, low-carb, low-fat, low-carb, low-fat, low-carb, low-fat, low-carb, low-carb, low-fat, low-carb, low-carb, low-fat, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb, low-carb,",1,0,0
chicken risotto,Generate a diabetes-friendly chicken risotto recipe.,"Toss 2 cups ricotta with 2 tablespoons olive oil, 2 tablespoons chopped parsley, 2 tablespoons chopped thyme, 2 teaspoons kosher salt, and 2 teaspoons freshly ground black pepper in a large saucepan. Bring to a boil, then reduce the heat to low, cover, and simmer until the ricotta is tender, 20 to 25 minutes. Remove from the heat and stir in 1 cup chopped parsley, 2 tablespoons chopped thyme, and 2 teaspoons freshly ground black pepper. Serve with a dollop of sour cream.",0,1,1
grandma g s collard greens,Generate a diabetes-friendly grandma g s collard greens recipe.,"Toss collard greens with olive oil, garlic, salt, and pepper. Bake in a 375 degree oven for 30 minutes.",0,1,1
2 vegetarian dips  served w crudites   baguette bread,Generate a diabetes-friendly 2 vegetarian dips  served w crudites   baguette bread recipe.,2 vegetarian dips served w crudites baguette bread,1,0,0
tofu with rice and black eyed peas,Generate a diabetes-friendly tofu with rice and black eyed peas recipe.,Toss tofu with rice and black eyed peas in a large bowl. Season with salt and pepper.,0,1,1
scacchi  mediterranean passover  lasagna,Generate a diabetes-friendly scacchi  mediterranean passover  lasagna recipe.,"Toss 2 cups ricotta cheese with 2 tablespoons olive oil in a large skillet over medium-high heat. Cook, stirring occasionally, until the cheese is melted and the mixture is bubbly and lightly browned, 5 to 7 minutes. Stir in 2 tablespoons mozzarella cheese and 2 tablespoons parmesan cheese. Cook, stirring occasionally, until the cheese is melted and the mixture is bubbly and lightly browned, 5 to 7 minutes. Stir in 2 tablespoons mozzarella cheese and 2 tablespoons parmesan cheese. Cook, stirring occasionally, until the cheese is melted and the mixture is bubbly and lightly browned, 5 to 7 minutes. Stir in 2 tablespoons parmesan cheese and 2 tablespoons parmesan cheese. Cook, stirring occasionally, until the cheese is melted and the mixture is bubbly and lightly browned, 5 to 7 minutes. Stir in 2 tablespoons parmesan cheese and 2 tablespoons parmesan cheese. Cook, stirring occasionally, until the cheese is melted and the mixture is bubbly and lightly browned, 5 to 7 minutes. Stir in 2 tablespoons parmesan cheese and 2 tablespoons parmesan cheese. Cook, stirring occasionally, until the",0,1,1
carrot  red lentil and orange soup,Generate a diabetes-friendly carrot  red lentil and orange soup recipe.,"Toss the carrots, red lentils and orange in a large soup pot. Bring to a boil over medium-high heat, then reduce the heat to medium-low and simmer until the lentils are tender and the carrots are soft, about 30 minutes.",0,0,0
beet greens with bacon and onion,Generate a diabetes-friendly beet greens with bacon and onion recipe.,Toss beet greens with bacon and onion in a large bowl. Season with salt and pepper.,0,0,0
onion garlic dip,Generate a diabetes-friendly onion garlic dip recipe.,"Toss 1/2 cup chopped onion, 1/2 cup chopped garlic, and 1/2 cup chopped parsley in a large bowl. Drizzle with olive oil and season with salt and pepper.",0,1,1
perfect pesto,Generate a diabetes-friendly perfect pesto recipe.,Spread pesto on a toasted baguette and top with grated Parmesan cheese.,1,0,0
marinated grilled tuna steak,Generate a diabetes-friendly marinated grilled tuna steak recipe.,"Marinate the tuna steak in a mixture of olive oil, lemon juice, garlic, salt, and pepper. Grill the tuna steak over medium-high heat until it reaches an internal temperature of 145 °F (63 °C).",0,1,1
avocado  cheddar  and sprouts pockets with tangy lime mayo,Generate a diabetes-friendly avocado  cheddar  and sprouts pockets with tangy lime mayo recipe.,"Avocado cheddar and sprouts pockets with tangy lime mayo. Preheat oven to 375 degrees F. Line a baking sheet with foil. In a large bowl, toss the avocado, cheddar, and sprouts with the mayonnaise. Spread the avocado mixture evenly over the foil-lined baking sheet. Bake the avocado cheddar and sprouts pockets for 20 to 25 minutes, or until the cheese is melted. Remove the foil-lined baking sheet from the oven. Serve the avocado cheddar and sprouts pockets with tangy lime mayo.",0,0,0
zucchini gratin,Generate a diabetes-friendly zucchini gratin recipe.,Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise. Cut the zucchini in half lengthwise.,0,1,1
chunky ham pot pie,Generate a diabetes-friendly chunky ham pot pie recipe.,"Cut the ham into cubes and add to a large pot. Add the water and bring to a boil. Reduce the heat to medium and simmer until the ham is tender, about 30 minutes. Remove the pot from the heat and stir in the cream and thyme. Season with salt and pepper to taste.",0,0,0
five cheese stuffed chicken breasts,Generate a diabetes-friendly five cheese stuffed chicken breasts recipe.,"Melt the butter in a large skillet over medium-high heat. Add the chicken breasts and cook, turning occasionally, until they are no longer pink in the middle and the juices run clear. Remove the chicken breasts from the skillet and set aside. In a large bowl, mix the ricotta cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan cheese, shredded Parmesan",0,0,0
low carb tuna casserole,Generate a diabetes-friendly low carb tuna casserole recipe.,Toss all ingredients together in a large casserole dish. Bake in the oven at 350° for 30 minutes.,0,0,0
best ever restaurant salsa,Generate a diabetes-friendly best ever restaurant salsa recipe.,Toss all ingredients together in a large bowl and season with salt and pepper. Serve with sour cream and guacamole.,0,0,0
italian chicken cheese rollups  light,Generate a diabetes-friendly italian chicken cheese rollups  light recipe.,"Toss 1 pound shredded chicken with 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2 tablespoons mayonnaise, 2",0,0,0
lemon and herbs marinade,Generate a diabetes-friendly lemon and herbs marinade recipe.,Lemon and herbs marinade can be made in advance and stored in the refrigerator for up to 3 days.,0,0,0
cauliflower cheddar fritters,Generate a diabetes-friendly cauliflower cheddar fritters recipe.,"Toss cauliflower, cheddar cheese, sour cream, mayonnaise, salt and pepper in a large bowl. Cover and refrigerate until ready to use. In a small bowl, whisk together flour, baking powder, cinnamon, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg",0,1,1
moroccan chicken with pistachio couscous,Generate a diabetes-friendly moroccan chicken with pistachio couscous recipe.,"Preheat the oven to 450 degrees F. In a large bowl, combine the couscous, chicken, and pistachios. Toss the chicken with the couscous and pistachios. Serve the chicken with the couscous and pistachios.",0,0,0
quinoa pudding by dr  andrew weil,Generate a diabetes-friendly quinoa pudding by dr  andrew weil recipe.,"To make a diabetic-friendly quinoa pudding, combine 1 cup quinoa, 1 cup water, 1 teaspoon cinnamon, and 1 teaspoon nutmeg in a saucepan. Bring to a boil, then reduce the heat to low, cover, and simmer until the quinoa is tender, 20 to 30 minutes. Remove from the heat, stir in 1 tablespoon honey, 1 teaspoon cinnamon, and 1 teaspoon nutmeg, and serve.",1,1,0
moroccan salmon,Generate a diabetes-friendly moroccan salmon recipe.,Cook the salmon in a pan on the stove over medium-high heat until it reaches an internal temperature of 145 °F (63 °C) and reaches an internal temperature of 165 °F (71 °C).,0,1,1
sneaky tuna filling,Generate a diabetes-friendly sneaky tuna filling recipe.,"Toss tuna filling with arugula, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugula salad, arugul",0,1,1
andalusian rice salad  ensalada de arroz,Generate a diabetes-friendly andalusian rice salad  ensalada de arroz recipe.,"The Andalusian rice salad, ensalada de arroz, is a traditional dish from Andalusia. It is made with white rice, tomatoes, cucumbers, olives, olive oil, and salt and pepper.",1,1,0
pappadeaux crawfish bisque,Generate a diabetes-friendly pappadeaux crawfish bisque recipe.,"Preheat the oven to 375°F (190°C) and grease a 9x9x2-inch baking dish with cooking spray. In a large saucepan, combine the crawfish, onion, garlic, pappadeaux, and butter. Bring to a boil over medium-high heat, then reduce the heat to medium-low and simmer until the crawfish is just cooked through, about 30 minutes. Remove the crawfish from the heat and stir in the remaining ingredients. Pour the crawfish bisque into the prepared baking dish. Bake the crawfish bisque for 30 minutes, or until the crawfish is heated through and the sauce thickens. Serve the crawfish bisque with the pappadeaux.",0,0,0
marinated greek village salad,Generate a diabetes-friendly marinated greek village salad recipe.,"Toss arugula, feta cheese, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate molasses, olives, pomegranate ",1,0,0
easy spinach squares,Generate a diabetes-friendly easy spinach squares recipe.,Toss 1/2 cup chopped spinach with 1/2 cup shredded cheddar cheese. Bake in a 9x9x2-inch pan at 350° for 20 minutes.,0,1,1
smoked salmon pate with parsley butter,Generate a diabetes-friendly smoked salmon pate with parsley butter recipe.,Preheat the oven to 450 degrees F (232 degrees C) and line a baking sheet with foil. Place the smoked salmon on the foil-lined baking sheet and season with salt and pepper. Spread the parsley butter on the foil-lined baking sheet and top with the smoked salmon. Bake the salmon pate for 30 minutes or until the salmon flakes easily when pierced with a fork. Remove the foil-lined baking sheet from the oven and transfer the smoked salmon pate to a serving platter. Serve the smoked salmon pate with the parsley butter.,0,1,1
tuna spring rolls with lime soy sauce,Generate a diabetes-friendly tuna spring rolls with lime soy sauce recipe.,Toss 2 ounces tuna with 2 tablespoons lime juice and 2 tablespoons soy sauce in a large bowl. Cover and refrigerate until ready to serve.,0,1,1
tinola,Generate a diabetes-friendly tinola recipe.,"Toss 1 cup tinola with 2 tablespoons butter, 1 teaspoon vanilla, and 1 teaspoon cinnamon in a microwave-safe bowl. Microwave on high for 30 seconds, then stir.",0,0,0
gluten free smoky ginger quiche bites,Generate a diabetes-friendly gluten free smoky ginger quiche bites recipe.,"Melt the butter in a large skillet over medium heat. Add the ginger and cook, stirring frequently, until the ginger is lightly browned, about 5 minutes. Remove from the heat and stir in the flour, baking powder, cinnamon, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nutmeg, nut",0,0,0
rich basil cream sauce,Generate a diabetes-friendly rich basil cream sauce recipe.,"To make a rich basil cream sauce, combine 2 tablespoons butter, 2 tablespoons olive oil, 2 tablespoons chopped fresh basil, and 2 teaspoons kosher salt in a medium saucepan. Bring to a boil over medium heat, then reduce heat to low and simmer until thickened, about 30 minutes. Remove from heat and stir in 1/4 cup chopped parsley.",1,1,0
souffled smoked salmon and tarragon omelette,Generate a diabetes-friendly souffled smoked salmon and tarragon omelette recipe.,"Toss 2 eggs with 2 tablespoons butter, 2 tablespoons tarragon, 1 teaspoon kosher salt, and 1 teaspoon pepper in a large omelette pan. Cook over medium-high heat until a knife inserted in the center of the omelette comes out clean. Remove the omelette from the heat and place it on a wire rack to cool.",0,0,0
south pacific island chicken  from a crock pot,Generate a diabetes-friendly south pacific island chicken  from a crock pot recipe.,Cook the chicken in the crock pot on the lowest setting for 6-8 hours. Remove the chicken from the crock pot and let it rest for 10 minutes before serving.,0,0,0
