dish,prompt,generation
cinnamon rolls,"Generate a diabetes-friendly cinnamon rolls recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","In a large mixing bowl, combine the flour, baking powder, baking soda, salt, cinnamon, and baking soda in a large mixing bowl. Add the eggs, milk, vanilla extract, and vanilla extract to the dry ingredients and mix well. Fold in the flour mixture and mix well."
donuts,"Generate a diabetes-friendly donuts recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","To make a diabetic friendly donuts, you can use any of the following ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts."
danish pastry,"Generate a diabetes-friendly danish pastry recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and"
apple pie,"Generate a diabetes-friendly apple pie recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (177°C) and line a 9x13x2-inch baking dish with parchment paper. In a large bowl, combine the flour, baking powder, salt, and baking soda. In a separate bowl, whisk together the eggs, milk, and vanilla. In a separate bowl, whisk together the flour, baking powder, salt, and baking soda. In a separate bowl, whisk together the eggs, milk, and vanilla. In a separate bowl, whisk together the flour, baking powder, salt, and baking soda. In a separate bowl, whisk together the flour, baking powder, salt, and baking soda. In a separate bowl, whisk together the eggs, milk, and vanilla. In a separate bowl, whisk together the flour, baking powder, salt, and baking soda. In a separate bowl, whisk together the eggs, milk, and vanilla. In a separate bowl, whisk together the flour, baking powder, salt, and baking soda. In a separate bowl, whisk together the flour, baking powder, salt, and baking soda. In a separate bowl, whisk together the flour, baking powder, salt, and baking soda. In a separate"
pumpkin pie,"Generate a diabetes-friendly pumpkin pie recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat oven to 350°F (177°C) and line a 9x13-inch baking dish with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, baking soda, and baking soda in a large mixing bowl. Stir in the melted butter and vanilla extract. Beat in the eggs one at a time until light and fluffy. Beat in the milk one at a time until light and fluffy. Fold in the pumpkin pie filling and bake in the preheated oven until a toothpick inserted into the pie comes out clean. Remove from the oven and let cool on a wire rack."
key lime pie,"Generate a diabetes-friendly key lime pie recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (177°C) and line a 9x13x2-inch baking dish with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, baking soda, and baking soda in a large mixing bowl. Stir in the egg yolks, milk, and vanilla extract. Beat in the egg yolks, milk, and vanilla extract. Pour the mixture into the prepared baking dish. Bake at 350°F (177°C) for 20 minutes or until a toothpick inserted into the pie comes out clean. Cool on a wire rack before cutting into squares."
pecan pie,"Generate a diabetes-friendly pecan pie recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (177°C) and line a 9x13x2-inch baking dish with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, and baking soda. Stir in the eggs, milk, and vanilla. Pour the mixture into the prepared baking dish. Bake at 350°F (177°C) for 20 to 25 minutes or until a toothpick inserted into the center comes out clean. Remove from the oven and let cool."
cherry pie,"Generate a diabetes-friendly cherry pie recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (177°C) and line a 9x13-inch baking dish with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, baking soda, and baking soda in a large mixing bowl. Whisk in the egg yolks, milk, and vanilla extract. Beat in the egg yolks, milk, and vanilla extract. Fold in the flour mixture until the mixture is light and fluffy. Fold in the egg whites, milk, and vanilla extract. Transfer the mixture to a 9x13-inch baking dish. Bake at 350°F (177°C) for 20 minutes or until a toothpick inserted into the center of the pie comes out clean. Cool on a wire rack."
tiramisu,"Generate a diabetes-friendly tiramisu recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","INGREDIENTS: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts."
crème brûlée,"Generate a diabetes-friendly crème brûlée recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. In a medium mixing bowl, combine the sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, vegetable oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour, and salt. Stir in the egg yolks and vanilla extract. Pour the mixture into the prepared baking sheet and bake for 20 to 25 minutes, or until a toothpick inserted into the center of the cake comes out clean. Remove from the oven and allow the cake to cool before serving."
chocolate mousse,"Generate a diabetes-friendly chocolate mousse recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","In a large mixing bowl, combine the chocolate, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, baking powder, salt, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda"
flan,"Generate a diabetes-friendly flan recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","In a large mixing bowl, combine the flour, baking powder, salt, baking soda, and baking soda in a large mixing bowl. Stir in the egg yolks, milk, and vanilla extract. Fold in the egg whites, milk, and vanilla extract. Fold in the egg whites, milk, and vanilla extract. Fold in the egg whites and vanilla extract."
panna cotta,"Generate a diabetes-friendly panna cotta recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, and baking soda. Add the milk, egg, and milk mixture to the panna cotta mixture and mix well. Fold in the shredded cheese and shredded Parmesan cheese. Transfer the panna cotta mixture to the prepared baking sheet and bake at 350°F (177°C) for 20 minutes or until cheese is melted and the cheese is melted. Remove from the oven and allow to cool before serving."
banana bread,"Generate a diabetes-friendly banana bread recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","In a large mixing bowl, combine flour, baking powder, salt, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking"
pound cake,"Generate a diabetes-friendly pound cake recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (177°C) and grease a 9x9x2-inch baking pan. Grease and flour a 9x9x2-inch baking dish. In a large mixing bowl, combine the flour, baking powder, baking soda, salt, and baking soda. Add the wet ingredients to the dry ingredients and mix well. Pour the wet ingredients into the prepared pan and bake until a toothpick inserted into the center comes out clean. Allow the cake to cool before serving."
carrot cake,"Generate a diabetes-friendly carrot cake recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:",Carrot cake is a diabetic-friendly cake.
red velvet cake,"Generate a diabetes-friendly red velvet cake recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","In a large mixing bowl, combine flour, baking powder, baking soda, salt, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking soda, baking"
ice cream sundae,"Generate a diabetes-friendly ice cream sundae recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:",A diabetic-friendly ice cream sundae recipe.
milkshake,"Generate a diabetes-friendly milkshake recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:",Mix 12 cup (240 ml) of milk with 12 cup (240 ml) of sugar and 12 cup (240 ml) of water in a blender. Blend until smooth.
banana split,"Generate a diabetes-friendly banana split recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:",Make a banana split.
rice krispy treats,"Generate a diabetes-friendly rice krispy treats recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Make a rice krispy treat by adding rice, white rice, corn syrup, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs."
s'mores,"Generate a diabetes-friendly s'mores recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Contains sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts."
fudge,"Generate a diabetes-friendly fudge recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Contains: Sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs."
caramel apples,"Generate a diabetes-friendly caramel apples recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","In a large mixing bowl, combine the sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, refined carbs. In a separate mixing bowl, combine the lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener."
candy bar cake,"Generate a diabetes-friendly candy bar cake recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (177°C) and grease a 9x13x2-inch baking pan. Grease and flour a 9x13x2-inch baking dish. In a large mixing bowl, combine the flour, baking powder, baking soda, salt, and baking soda. Add the wet ingredients to the dry ingredients and mix well. Bake at 350°F (177°C) for 20 minutes or until a toothpick inserted into the center comes out clean. Cool on a wire rack."
pepperoni pizza,"Generate a diabetes-friendly pepperoni pizza recipe.

AVOID these ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs, processed desserts.

INCLUDE these ingredients: vegetables, lean proteins (chicken breast, fish, tofu), olive oil, whole grains (quinoa, brown rice), stevia or monk fruit sweetener, almond flour, coconut flour.

Recipe:","Preheat the oven to 350°F (180°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, and baking soda. Add the olive oil, salt, and pepper to the dry ingredients and mix well. Spread the dough onto the prepared baking sheet. Sprinkle the pepperoni slices with salt and pepper. Bake at 350°F (180°C) for 20 minutes or until the pepperoni slices are golden brown."
