dish,prompt,generation,compliant,has_forbidden,has_required
fried pickles,Generate a diabetes-friendly fried pickles recipe.,"Ingredients: pickles, onion, garlic cloves, sour cream, ketchup, salt, pepper",0,0,0
pad thai,Generate a diabetes-friendly pad thai recipe.,"Ingredients: pad thai, lime juice, lime juice, lime juice, lime juice, lime juice, salt, pepper",0,0,0
lo mein,Generate a diabetes-friendly lo mein recipe.,"Ingredients: lean ground beef, onion, garlic cloves, scallions, garlic cloves, scallions, salt, pepper",0,0,0
chow mein,Generate a diabetes-friendly chow mein recipe.,"Ingredients: chow mein noodles, sour cream, onion, garlic cloves, sour cream, salt, pepper",0,1,0
fried rice,Generate a diabetes-friendly fried rice recipe.,"Ingredients: rice, butter, onion, garlic cloves, paprika, garlic powder, salt, pepper",0,0,0
orange chicken,Generate a diabetes-friendly orange chicken recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, garlic cloves, onion, garlic cloves, salt, pepper",1,0,1
sweet and sour pork,Generate a diabetes-friendly sweet and sour pork recipe.,"Ingredients: pork tenderloin, sour cream, sour cream, sugar, salt, pepper",0,1,0
general tso's chicken,Generate a diabetes-friendly general tso's chicken recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, garlic cloves, scallions, salt, pepper",0,0,0
kung pao chicken,Generate a diabetes-friendly kung pao chicken recipe.,"Ingredients: boneless skinless chicken breasts, kung pao seasoning, garlic cloves, fresh ginger, garlic cloves, fresh lime juice, fresh lime juice, fresh lime juice",0,0,0
sesame chicken,Generate a diabetes-friendly sesame chicken recipe.,"Ingredients: boneless skinless chicken breasts, sesame oil, sesame oil, sesame seeds, sesame oil, garlic cloves, sesame seeds",0,0,0
teriyaki chicken,Generate a diabetes-friendly teriyaki chicken recipe.,"Ingredients: boneless skinless chicken breasts, teriyaki sauce, teriyaki sauce",0,0,0
beef and broccoli with white rice,Generate a diabetes-friendly beef and broccoli with white rice recipe.,"Ingredients: boneless beef, white rice, broccoli, carrots, onion, garlic cloves, salt and pepper",0,1,1
ramen,Generate a diabetes-friendly ramen recipe.,"Ingredients: boneless skinless chicken breast halves, ramen noodles, onion, garlic cloves, scallions, red pepper flakes, salt and pepper",0,1,1
pho with white noodles,Generate a diabetes-friendly pho with white noodles recipe.,"Ingredients: white noodles, soy sauce, soy sauce, garlic powder, salt, fresh ground black pepper, paprika",0,1,0
cheeseburger,Generate a diabetes-friendly cheeseburger recipe.,"Ingredients: ground beef, onion, garlic cloves, sour cream, ketchup, salt, pepper",0,0,0
bacon cheeseburger,Generate a diabetes-friendly bacon cheeseburger recipe.,"Ingredients: bacon, cheddar cheese, sour cream, ketchup, salt, pepper",0,1,0
hot dog,Generate a diabetes-friendly hot dog recipe.,"Ingredients: ground beef, onion, garlic cloves, sour cream, ketchup, salt, pepper",0,0,0
corn dog,Generate a diabetes-friendly corn dog recipe.,"Ingredients: corn dogs, onion, garlic cloves, sour cream, sour cream, salt, pepper",0,0,0
burrito with white rice,Generate a diabetes-friendly burrito with white rice recipe.,"Ingredients: burritos, white rice, onion, garlic cloves, red bell peppers, red bell peppers, green bell peppers, white rice",0,1,0
quesadilla,Generate a diabetes-friendly quesadilla recipe.,"Ingredients: quesadillas, sour cream, salsa",0,0,0
nachos with cheese,Generate a diabetes-friendly nachos with cheese recipe.,"Ingredients: nachos, cheddar cheese, sour cream, sour cream, cheddar cheese",0,0,0
loaded baked potato,Generate a diabetes-friendly loaded baked potato recipe.,"Ingredients: potatoes, onion, garlic cloves, paprika, garlic powder, salt, pepper",0,0,0
tater tots,Generate a diabetes-friendly tater tots recipe.,"Ingredients: tater tots, olive oil, garlic cloves, onion, garlic cloves, salt, pepper",0,1,1
hash browns,Generate a diabetes-friendly hash browns recipe.,"Ingredients: hash browns, butter, onion, garlic cloves, salt, pepper",0,1,0
BBQ ribs,Generate a diabetes-friendly BBQ ribs recipe.,"Ingredients: boneless skinless ribs, onion, garlic cloves, salt and pepper",0,0,0
pulled pork sandwich,Generate a diabetes-friendly pulled pork sandwich recipe.,"Ingredients: pork loin, onion, garlic cloves, sour cream, salt, pepper, ketchup, ketchup",0,0,0
meatball sub,Generate a diabetes-friendly meatball sub recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, ground cumin, ground cumin, ground coriander, ground black pepper",0,0,0
pancakes with syrup,Generate a diabetes-friendly pancakes with syrup recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk",0,1,0
waffles,Generate a diabetes-friendly waffles recipe.,"Ingredients: flour, baking powder, salt, butter, eggs, milk, eggs, vanilla extract",0,0,0
french toast,Generate a diabetes-friendly french toast recipe.,"Ingredients: butter, sugar, eggs, flour, baking powder, salt, cinnamon",0,1,0
eggs benedict,Generate a diabetes-friendly eggs benedict recipe.,"Ingredients: eggs, sour cream, sugar, salt, pepper",0,1,0
breakfast burrito,Generate a diabetes-friendly breakfast burrito recipe.,"Ingredients: burritos, sour cream, sour cream, sour cream, sour cream, salt, pepper",0,0,0
biscuits and gravy,Generate a diabetes-friendly biscuits and gravy recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, buttermilk",0,1,0
cinnamon french toast,Generate a diabetes-friendly cinnamon french toast recipe.,"Ingredients: flour, baking powder, baking soda, salt, cinnamon, butter, eggs, milk",0,1,0
stuffed french toast,Generate a diabetes-friendly stuffed french toast recipe.,"Ingredients: butter, sugar, eggs, flour, salt, eggs, milk, breadcrumbs",0,1,0
buffalo wings,Generate a diabetes-friendly buffalo wings recipe.,"Ingredients: buffalo wings, mayonnaise, ketchup, ketchup, ketchup, salt, pepper",0,0,0
jalapeño poppers,Generate a diabetes-friendly jalapeño poppers recipe.,"Ingredients: jalapeos, olive oil, onion, garlic cloves, paprika, salt, pepper",1,0,1
potato skins,Generate a diabetes-friendly potato skins recipe.,"Ingredients: potatoes, onion, garlic cloves, salt, pepper, paprika, salt and pepper",0,0,0
seven layer dip,Generate a diabetes-friendly seven layer dip recipe.,"Ingredients: olive oil, onion, celery, garlic cloves, salt, pepper, sour cream",1,0,1
queso dip,Generate a diabetes-friendly queso dip recipe.,"Ingredients: queso, olive oil, onion, garlic cloves, salt, pepper",1,0,1
spinach artichoke dip with bread,Generate a diabetes-friendly spinach artichoke dip with bread recipe.,"Ingredients: artichoke hearts, olive oil, garlic cloves, artichoke hearts",1,0,1
tuna casserole,Generate a diabetes-friendly tuna casserole recipe.,"Ingredients: tuna fillets, onion, garlic cloves, salt, pepper, paprika, sour cream",1,0,1
green bean casserole,Generate a diabetes-friendly green bean casserole recipe.,"Ingredients: green beans, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of celery soup, cream of mushroom soup, cream of celery soup, cream of mushroom soup",0,1,1
chicken pot pie,Generate a diabetes-friendly chicken pot pie recipe.,"Ingredients: boneless skinless chicken breasts, cream of chicken soup, cream of chicken soup, cream of chicken soup, cream of chicken soup, cream of chicken soup, cream of chicken soup, cream of chicken soup",0,0,0
shepherd's pie,Generate a diabetes-friendly shepherd's pie recipe.,"Ingredients: cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup",0,1,0
beef stroganoff,Generate a diabetes-friendly beef stroganoff recipe.,"Ingredients: beef stroganoff, onion, garlic cloves, salt and pepper",0,0,0
chicken and dumplings,Generate a diabetes-friendly chicken and dumplings recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, scallions, garlic cloves, chicken broth, salt, pepper",0,0,0
